text,label
Fnatic has been trying to sell their company not have a winning team. Company evaluation matters more than actual effectiveness.,analysis
Using AI for coaching tools is feasible. Big budget traditional sports utilize machine learning extensively. LLMs probably have basically no utility there though.,analysis
My friend was on his bronze smurf and didnt want it to promote to silver so he intentionally fed one game and was quickly banned on both accounts for 7 days.,analysis
Can you stop leaking things? No. Gets punished. Surprised pikachu face,noise
Heim the champ is such a chud,noise
If you have that much time on a single champion and are not at least diamond it means your fundamentals are terrible.,opinion
Riot said they have no plans to change or let people change skin visuals even on their end client side.,analysis
Are people missing the part where he got sent a cease and desist letter from riot and still kept posting leaks,analysis
Generic tech bro doesnt really understand anything other than shiny and new. Being first matters more than anything.,opinion
No wonder Fnatic are in the shitter this is how theyre spending their money.,noise
Apps these days give so much extra info on a player. It will tell you if someone is aggressive or passive how well they cs and how much they ward.,analysis
Fnatic has been trying to sell their company not have a winning team. Company evaluation matters more than actual effectiveness.,analysis
You do realize this coincidentally started after BBB began leaking? He leaked the dual release of Lillia and Yone. These events take a year to prepare.,analysis
One of the killers of excitement in modern gaming has been the constant leaks. Personally am happy to have this stuff be cracked down on,opinion
There are a few games where my team goes full squishy damage comp and as adc Im always in danger lol,noise
Silver IV checking in,noise
I forget who said it but someone said you should relate to your otp on a psychological level too.,opinion
idk I know that ashe works really well with a thornmail rush,opinion
I miss old lee sin visuals so much new ones feel too clean and less fun.,opinion
Reeled in one champ with ult in ARAM and now Im considering getting shotgun knees in real life.,noise
Dont care dont read. Perma ban it is.,noise
Pyke is an exception. His passive converts all bonus HP into AD. He can only gain defensive stats from resistances not HP.,analysis
Challenger jungle players prioritize lane priority enemy jungle position and objective timers before every action.,analysis
I just scrolled the champ gallery when I started. Champ looked cool lore sounded cool. Always ended up coming back to the cat.,opinion
In my opinion Riot not only allow smurfing Id argue they promote it. When Tyler1 got 5 role challenger they sent him medals.,analysis
Top 16 teams based on the player ranking score were auto invited.,analysis
never has there been a worse season for ranked integrity,opinion
ENC pays for everything they have saudi money,noise
Grok how do we beat G2,noise
oh no anyway,noise
My experience is almost the exact opposite. ADCs absolutely annihilate tanks unless the tanks get a massive high roll.,opinion
Generic tech bro doesnt really understand anything other than shiny and new. Being first matters more than anything.,opinion
idk I know that ashe works really well with a thornmail rush,opinion
One of the killers of excitement in modern gaming has been the constant leaks. Personally am happy to have this stuff be cracked down on,opinion
Ryze rework? Which one?,noise
He was considered OP in high ELO and pro play but bad for most players kinda like Azir. Riot also thought his kit was unhealthy so they changed him many times.,analysis
He said he was warned multiple times. Rioters mentioned how marketing campaigns got cancelled since he was leaking stuff 4-6 months prior to release.,analysis
There is also the conspiracy that part of that winrate loss is from people picking yuumi sharing the same braincell of just play safe.,opinion
Was bound to happen eventually,noise
Grok how do we beat G2,noise
Red blue equals buffs gold fits the gambler vibe way better than soccer ref logic.,opinion
AI is such rot and it feels like every day Im watching AI creep its way into every part of my life that brings me joy.,opinion
