text,label
Yorick belongs in the tier with Wukong. 6-0 this season against Vayne top with Yorick. Go Comet with E max and rush Liandrys or Eclipse.,analysis
Or play anything else because Vayne top is 49% winrate 3% pickrate and auto loses if she doesnt get a massive lead in lane.,opinion
Dont care dont read. Perma ban it is.,noise
Because its incredibly unfun to play against if you have to blind pick.,opinion
Vayne fucks Irelia with condemn.,opinion
Veigar specifically gets ap from his passive reaching up to 300-400 free ap in the late game meaning he gets decent damage without buying damage items.,analysis
Tankiness is worthless if the enemy can just ignore you. Tanks cant be ignored because they will CC you. Veigar cant be ignored because he has enough damage and utility.,analysis
Kit also matters a lot. Vayne is a marksman that can afford a few tank items because of inherent damage. Akali and Ekko could get away with tank items because their base damage was too high.,analysis
Pyke is an exception. His passive converts all bonus HP into AD. He can only gain defensive stats from resistances not HP.,analysis
Being tanky and being a tank are two different things. A marksman or assassin building full tank can just be ignored.,analysis
idk I know that ashe works really well with a thornmail rush,opinion
This post has inspired me to try tank Jhin so I can be giga useless,noise
AI analyze this play at 40 minutes. The team needs to establish vision control around the Rift Herald. The Rift Herald can help break the tower.,noise
No wonder Fnatic are in the shitter this is how theyre spending their money.,noise
Grok how do we beat G2,noise
Using AI for coaching tools is feasible. Big budget traditional sports utilize machine learning extensively. LLMs probably have basically no utility there though.,analysis
The problem with league as a live service game is all data has a short shelf life. An AI trained on soloqueue data might overvalue picks that do not work in pro play.,analysis
You can get WAY MORE funding if your CEO uses the word AI since the company valuation goes up so much more.,analysis
Generic tech bro doesnt really understand anything other than shiny and new. Being first matters more than anything.,opinion
AI is such rot and it feels like every day Im watching AI creep its way into every part of my life that brings me joy.,opinion
Fnatic has been trying to sell their company not have a winning team. Company evaluation matters more than actual effectiveness.,analysis
In my opinion Riot not only allow smurfing Id argue they promote it. When Tyler1 got 5 role challenger they sent him medals.,analysis
They dont care about smurfs. The fast climber things existence proves riot is ok with smurfs.,opinion
Riot has a term for that Hitchhiking and they ban both accounts and reset the rank.,analysis
My friend was on his bronze smurf and didnt want it to promote to silver so he intentionally fed one game and was quickly banned on both accounts for 7 days.,analysis
Smurfing isnt against TOS. I dont even think account sharing is against TOS either unless its for boosting purposes.,opinion
Account sharing is very much against their TOS. Riot Games TOS 1.5 Can I share or sell my account or login credentials No.,analysis
Riot probably avoids false bans so a lot of them slip through unless theres obvious boosting or account sharing.,opinion
Pentaless,noise
As a yorick main my backups are trundle attack speed turret destroyer that steals stats and garen regen crit tank.,opinion
Heim the champ is such a chud,noise
I remember the shield being a really big problem in top lane. Ryze players were doing archangels plus frozen heart and demolishing AD toplaners with completely 0 counterplay.,analysis
He was considered OP in high ELO and pro play but bad for most players kinda like Azir. Riot also thought his kit was unhealthy so they changed him many times.,analysis
The justification was that his kit was so complex that he was eternally in pro jail and simplifying him would open him up to other avenues of play.,analysis
There was a chunk of time where Riot tried to push champions into being more viable in every rank. I heard rioters talk about how using that approach was a mistake.,analysis
He was too OP in high elo. I mained him when his passive still gives shield. You just build tanky on him and he still dishes out huge damage.,opinion
Ryze rework? Which one?,noise
He was way too hard for plebeians.,noise
Riot said they have no plans to change or let people change skin visuals even on their end client side.,analysis
Money. If people can use custom skins they are less likely to buy new ones.,opinion
If its client side only I honestly dont see why people would be against it.,opinion
I miss old lee sin visuals so much new ones feel too clean and less fun.,opinion
Other people are buying skins to show off. Being able to reduce effects makes buying skins kinda pointless.,opinion
I mute pings too. They dont know what theyre for.,noise
I typically leave pings open but the moment you start spamming or flaming with it Im just full muting you. A teammate abusing pings is more tilting than being flamed in chat.,opinion
That would solve nothing. If you mute chat then announce you have pings on theyre going to spam ping you instead. Its literally just a worse solution to a problem that already has a solution.,analysis
When you know what youre doing you can generally ignore all chat and pings. Pings are just another way for people to be toxic.,opinion
totally agree,noise
To get challenger you either need to be unemployed full time gaming or a streamer. If you work or have a family its pretty much impossible.,opinion
In theory challenger is supposed to be path to pro so it makes sense.,opinion
Ive never hit challenger but I hovered around low GM for all 4 seasons of my college years. Before I could have like a 58% win rate and climb consistently even if I had time for 3 or 4 games a day.,analysis
To challenge the pros who play this game full time you need to play the game full time.,opinion
Riot succeeded in tricking their playerbase with elo inflation. Masters hasnt been a serious rank in like 5 years since they started pumping LP everywhere.,opinion
Master is just old diamond and grandmaster is old master. The total amount of work from d5 to chall wasnt too different from someone going from master 0 lp to chall now.,analysis
For comparison when Master was introduced it was 0.05% of players. Now its 0.7 to 0.9%.,analysis
With 80% winrate and 10 games a day you reach Rank 1 in 15 days starting from master 0 lp.,analysis
Just multiply it with 2/3 and you got the actual elo. Whether its plus or minus 20 or plus or minus 30 makes no difference in games played.,analysis
never has there been a worse season for ranked integrity,opinion
It doesnt really matter though. Challenger has 300 slots. If the cutoff is at 2000lp or 10000lp still only 300 spots.,opinion
The effort should be in becoming better not playing more.,opinion
People discussing it in the comments like challenger is something relevant to them,noise
yeah hard reset really worked,noise
they can make a new rank called alpha challenger,noise
Im 30 unemployed for 5 months and trying to reach my goal masters,noise
At least with tanks theres constant brawling. Nothing is more boring than a comp of xerath Mel ziggs that is just a poke battle.,opinion
Better than 10 nerds standing on max range and just throwing skills,opinion
The problem is tanks are oppressive against comps with no answer to them. There are so many augments that allow you to melt tanks but you remember the few games where Tahm Kench gets 50000 HP.,analysis
The game is so much more fun when tanks are playable versus the damage champ metas,opinion
My experience is almost the exact opposite. ADCs absolutely annihilate tanks unless the tanks get a massive high roll.,opinion
Pressure Cooker and Tooth Fairy are the same rarity as Stats for gold augments. Pressure Cooker auto wins the game. Tooth Fairy is overtuned. Stats gives you 3 silver anvils.,opinion
Theres like a 15% dmg reduction on most ranged attacks in the game why wouldnt tanks be more broken?,analysis
I think since the update tanks have fallen off a bit. No stackasourous makes tank engine worse.,opinion
The way to nerf it most easily is by removing tank engine or modifying bloodmail or riftmaker for aram mayhem.,opinion
Silver IV checking in,noise
Low elo detected,noise
More whine over here please waiter,noise
it definitely feels that way sometimes half the game is just watching two unkillable tanks run at each other,opinion
Ive been playing since wukong or skarners release for the first time ever Ive finally hit not only emerald but also progressed into diamond,opinion
BBB wasnt a leaker he just pretended to be. He would take other peoples leaks stamp his watermark on them and add them to clickbait videos.,analysis
This reminds me of the time he claimed League was making a battle royale with WASD controls then when WASD was confirmed cropped out the Battle Royale part.,analysis
One of the killers of excitement in modern gaming has been the constant leaks. Personally am happy to have this stuff be cracked down on,opinion
oh no anyway,noise
Yeah leak culture is a tumor.,noise
Can you stop leaking things? No. Gets punished. Surprised pikachu face,noise
RIP BOZO HE WONT BE MISSED,noise
He was ultimately a Big Bad Bear.,noise
You do realize this coincidentally started after BBB began leaking? He leaked the dual release of Lillia and Yone. These events take a year to prepare.,analysis
Got clapped by briar in iron. Im dia now.,noise
Someone beat me very hard on Twitch so I played Twitch and tried to replicate what he did.,noise
I just scrolled the champ gallery when I started. Champ looked cool lore sounded cool. Always ended up coming back to the cat.,opinion
I support main mostly started from before you could pick a role. Nautilus has a TON of cc. A root with passive hook and stun with Q slow with E and knockup with ult.,analysis
I forget who said it but someone said you should relate to your otp on a psychological level too.,opinion
I thought Fiddlesticks looked super cool so I started playing league of legends and never looked back.,noise
xPetu posted a video why you should play Shen. Now half my mastery points are on Shen.,noise
Reeled in one champ with ult in ARAM and now Im considering getting shotgun knees in real life.,noise
Nasus is also unplayable for vayne if he goes 3 points e with poke runes. He free scales and at some point will press w on you and run you down.,analysis
The trick to winning against Vayne top is to lose your ego. Sit under tower minimize poke farm what you can. Then in teamfights the enemy comp sucks because they have a second ADC instead of a bruiser.,analysis
Yorick belongs in the tier with Wukong. 6-0 this season against Vayne top with Yorick. Go Comet with E max and rush Liandrys or Eclipse.,analysis
Or play anything else because Vayne top is 49% winrate 3% pickrate and auto loses if she doesnt get a massive lead in lane.,opinion
Dont care dont read. Perma ban it is.,noise
Because its incredibly unfun to play against if you have to blind pick.,opinion
Vayne fucks Irelia with condemn.,opinion
Veigar specifically gets ap from his passive reaching up to 300-400 free ap in the late game meaning he gets decent damage without buying damage items.,analysis
Tankiness is worthless if the enemy can just ignore you. Tanks cant be ignored because they will CC you. Veigar cant be ignored because he has enough damage and utility.,analysis
Kit also matters a lot. Vayne is a marksman that can afford a few tank items because of inherent damage. Akali and Ekko could get away with tank items because their base damage was too high.,analysis
Pyke is an exception. His passive converts all bonus HP into AD. He can only gain defensive stats from resistances not HP.,analysis
Being tanky and being a tank are two different things. A marksman or assassin building full tank can just be ignored.,analysis
idk I know that ashe works really well with a thornmail rush,opinion
This post has inspired me to try tank Jhin so I can be giga useless,noise
AI analyze this play at 40 minutes. The team needs to establish vision control around the Rift Herald. The Rift Herald can help break the tower.,noise
No wonder Fnatic are in the shitter this is how theyre spending their money.,noise
Grok how do we beat G2,noise
Using AI for coaching tools is feasible. Big budget traditional sports utilize machine learning extensively. LLMs probably have basically no utility there though.,analysis
The problem with league as a live service game is all data has a short shelf life. An AI trained on soloqueue data might overvalue picks that do not work in pro play.,analysis
You can get WAY MORE funding if your CEO uses the word AI since the company valuation goes up so much more.,analysis
Generic tech bro doesnt really understand anything other than shiny and new. Being first matters more than anything.,opinion
AI is such rot and it feels like every day Im watching AI creep its way into every part of my life that brings me joy.,opinion
Fnatic has been trying to sell their company not have a winning team. Company evaluation matters more than actual effectiveness.,analysis
never has there been a worse season for ranked integrity,opinion
It doesnt really matter though. Challenger has 300 slots. If the cutoff is at 2000lp or 10000lp still only 300 spots.,opinion
The effort should be in becoming better not playing more.,opinion
People discussing it in the comments like challenger is something relevant to them,noise
